,user_id,items
0,21006,Aeropress - Manual Brew
1,21006,Iced Americano - Cold Coffee
2,21006,Add On Syrup - Extra Toppings
3,21006,Baked Vada Pav - Food Menu
4,21005,South Indian Filter Kaapi - Hot Coffee
5,21005,Origanal South Indian Frappe - Cold Coffee
6,21005,Origanal South Indian Frappe - Cold Coffee
7,21005,Origanal South Indian Frappe - Cold Coffee
8,21004,Spicy Banana Chips - Food Menu
9,21003,Classic Frappe - Cold Coffee
10,21003,Cold Brew - Manual Brew
11,21003,Berliners - Food Menu
12,21002,Iced Americano - Cold Coffee
13,21002,Cafe Latte - Hot Coffee
14,21001,Cappucino - Hot Coffee
15,21001,Almond Frappe - Cold Coffee
16,21001,Madagascar Hot Chocolate - Hot Chocolate
17,21001,Berliners - Food Menu
18,21000,Cafe Latte - Hot Coffee
19,21000,Sea Salt Dark Mocha - Hot Coffee
20,21000,ALMOND MILK - Milk
21,20999,Whole Wheat Ladi Pav - Savouries
22,20998,Origanal South Indian Frappe - Cold Coffee
23,20998,South Indian Filter Kaapi - Hot Coffee
24,20997,Madagascar Chocochip Frappe - Cold Coffee
25,20996,Madagascar Chocochip Frappe - Cold Coffee
26,20996,Caramel Frappe - Cold Coffee
27,20995,Chicken Calzone - Food Menu
28,20995,Mix Tartlet - Food Menu
29,20995,Mix Tartlet - Food Menu
30,20995,Cold Brew - Manual Brew
31,20995,Sea Salt Dark Mocha - Hot Coffee
32,20995,Bon Bon - Cold Coffee
33,20995,Almond Honey Latte - Hot Coffee
34,20995,Hazelnut Frappe - Cold Coffee
35,20995,Mix Tartlet - Food Menu
36,20995,Mix Tartlet - Food Menu
37,20994,Papparoti - Sweet
38,20994,Nariyal Irish Cream Frappe - Cold Coffee
39,20993,Iced Americano - Cold Coffee
40,20993,Add On Syrup - Extra Toppings
41,20993,Kaapicino - Hot Coffee
42,20992,Madagascar Hot Chocolate - Hot Chocolate
43,20992,Hazelnut Frappe - Cold Coffee
44,20991,Cappucino - Hot Coffee
45,20991,Choco-crinkle-cookies - Sweet
46,C2315,Rosella Jam - SEASONAL MENU
47,20990,South Indian Filter Kaapi - Hot Coffee
48,20990,Hyderabadi Soya Keema Pav - Food Menu
49,20990,Yellow Banana Chips - Food Menu
50,20989,Hazelnut Frappe - Cold Coffee
51,20989,Iced Americano - Cold Coffee
52,20988,Bon Bon - Cold Coffee
53,20988,Vietnamese - Cold Coffee
54,20987,Iced Latte - Cold Coffee
55,20987,Origanal South Indian Frappe - Cold Coffee
56,20986,Espresso Tonic - Coffee Coolers
57,20985,South Indian Filter Kaapi - Hot Coffee
58,20985,Cafe Latte - Hot Coffee
59,20984,South Indian Filter Kaapi - Hot Coffee
60,20983,Classic Frappe - Cold Coffee
61,20982,Almond Honey Latte - Hot Coffee
62,20982,Berliners - Food Menu
63,20981,Origanal South Indian Frappe - Cold Coffee
64,20981,OAT MILK - Milk
65,C2314,Baked Pav Bhaji - Food Menu
66,C2314,Hyderabadi Chicken Keema Pav - Food Menu
67,C2314,South Indian Filter Kaapi - Hot Coffee
68,C2314,Americano - Hot Coffee
69,20980,South Indian Filter Kaapi - Hot Coffee
70,20979,Espresso Tonic - Coffee Coolers
71,20978,Spicy Banana Chips - Food Menu
72,20978,Madagascar Chocochip Frappe - Cold Coffee
73,20977,Iced Americano - Cold Coffee
74,20977,Vietnamese - Cold Coffee
75,20977,Baked Pav Bhaji - Food Menu
76,20976,Baked Vada Pav - Food Menu
77,20975,South Indian Filter Kaapi - Hot Coffee
78,C2313,Rosella Jam - SEASONAL MENU
79,C2313,Rosella Jam - SEASONAL MENU
80,20974,Calzones Veg - Food Menu
81,20974,Baked Pav Bhaji - Food Menu
82,20974,Hyderabadi Chicken Keema Pav - Food Menu
83,20973,Whole Wheat Ladi Pav - Savouries
84,20972,Almond Frappe - Cold Coffee
85,20971,Nariyal Irish Cream Frappe - Cold Coffee
86,20971,Baked Pav Bhaji - Food Menu
87,20971,Americano - Hot Coffee
88,20970,Iced Americano - Cold Coffee
89,C2312,Origanal South Indian Frappe - Cold Coffee
90,20969,Baked Vada Pav - Food Menu
91,20968,Origanal South Indian Frappe - Cold Coffee
92,C2311,Baked Pav Bhaji - Food Menu
93,C2311,Baked Vada Pav - Food Menu
94,C2310,South Indian Filter Kaapi - Hot Coffee
95,C2309,Mix Berliner - Food Menu
96,C2309,Mix Berliner - Food Menu
97,20967,Hot Chocolate - Hot Chocolate
98,20966,Kaapicino - Hot Coffee
99,20966,South Indian Filter Kaapi - Hot Coffee
100,20965,Cappucino - Hot Coffee
101,20965,Americano - Hot Coffee
102,20964,Iced Americano - Cold Coffee
103,20963,South Indian Filter Kaapi - Hot Coffee
104,20963,South Indian Filter Kaapi - Hot Coffee
105,20962,Iced Americano - Cold Coffee
106,20961,Kaapicino - Hot Coffee
107,20960,Rosella Jam - SEASONAL MENU
108,20960,Strawberry White Chocolate Ganache - SEASONAL MENU
109,20960,White Loaf Bread - Savouries
110,20960,Choco-crinkle-cookies - Sweet
111,20959,Iced Americano - Cold Coffee
112,20958,Almond Honey Latte - Hot Coffee
113,20958,Flat White 250 Ml - Hot Coffee
114,20958,Papparoti - Sweet
115,20958,Hyderabadi Chicken Keema Pav - Food Menu
116,20957,Americano - Hot Coffee
117,20956,South Indian Filter Kaapi - Hot Coffee
118,20956,Cafe Mocha - Hot Coffee
119,20956,Papparoti - Sweet
120,20955,Cappucino - Hot Coffee
121,20954,Cappucino - Hot Coffee
122,20953,Vietnamese - Cold Coffee
123,20952,Choco-crinkle-cookies - Sweet
124,20951,Cafe Latte - Hot Coffee
125,20951,Add On Syrup - Extra Toppings
126,20950,Vietnamese - Cold Coffee
127,20950,Tartlets - Food Menu
128,20949,Spicy Banana Chips - Food Menu
129,20948,Origanal South Indian Frappe - Cold Coffee
130,20948,ALMOND MILK - Milk
131,20947,South Indian Filter Kaapi - Hot Coffee
132,20946,Papparoti - Sweet
133,20946,Baked Vada Pav - Food Menu
134,20946,Hyderabadi Soya Keema Pav - Food Menu
135,20946,Berliner Mix - Food Menu
136,20946,Rosella Cheesecake Berliner - SEASONAL MENU
137,20946,Tartlets - Food Menu
138,20946,Cappucino - Hot Coffee
139,20945,Madagascar Chocochip Frappe - Cold Coffee
140,20945,Iced Americano - Cold Coffee
141,20944,Cappucino - Hot Coffee
142,20944,Hot Chocolate - Hot Chocolate
143,20944,Madagascar Chocochip Frappe - Cold Coffee
144,20943,Hot Chocolate - Hot Chocolate
145,20942,Iced Latte - Cold Coffee
146,20941,Hazelnut Frappe - Cold Coffee
147,20941,Vietnamese - Cold Coffee
148,20940,Berliners - Food Menu
149,20940,Hot Chocolate - Hot Chocolate
150,20940,Vietnamese - Cold Coffee
151,20939,Malnad Tonic - Coffee Coolers
152,20938,South Indian Filter Kaapi - Hot Coffee
153,20938,Hot Chocolate - Hot Chocolate
154,20938,Baked Vada Pav - Food Menu
155,20937,Madagascar Chocochip Frappe - Cold Coffee
156,20937,ALMOND MILK - Milk
157,20936,Sea Salt Dark Mocha Frappe - Cold Coffee
158,20936,Origanal South Indian Frappe - Cold Coffee
159,20936,Madagascar Hot Chocolate - Hot Chocolate
160,20936,Hyderabadi Chicken Keema Pav - Food Menu
161,20936,Rosella Jam - SEASONAL MENU
162,20936,Strawberry White Chocolate Ganache - SEASONAL MENU
163,20935,Hazelnut Frappe - Cold Coffee
164,20935,South Indian Filter Kaapi - Hot Coffee
165,20934,Hot Chocolate - Hot Chocolate
166,20933,Papparoti - Sweet
167,20933,Hot Chocolate - Hot Chocolate
168,20933,Mix Berliner - Food Menu
169,20933,Mix Berliner - Food Menu
170,20933,Mix Berliner - Food Menu
171,20933,Rosella Cheesecake Berliner - SEASONAL MENU
172,20932,Origanal South Indian Frappe - Cold Coffee
173,20932,Sea Salt Dark Mocha Frappe - Cold Coffee
174,20932,Sea Salt Dark Mocha Frappe - Cold Coffee
175,20932,Hyderabadi Soya Keema Pav - Food Menu
176,20932,Madagascar Hot Chocolate - Hot Chocolate
177,20932,Madagascar Chocochip Frappe - Cold Coffee
178,20931,Madagascar Chocochip Frappe - Cold Coffee
179,20931,Cappucino - Hot Coffee
180,20931,Cafe Mocha - Hot Coffee
181,20931,Iced Americano - Cold Coffee
182,20930,Classic Frappe - Cold Coffee
183,20930,OAT MILK - Milk
184,20930,Berliners - Food Menu
185,20930,Strawberry White Chocolate Ganache - SEASONAL MENU
186,20929,Cafe Latte - Hot Coffee
187,20929,Almond Honey Latte - Hot Coffee
188,20929,Add On Syrup - Extra Toppings
189,20929,Madagascar Chocochip Frappe - Cold Coffee
190,20929,ALMOND MILK - Milk
191,20929,Hazelnut Frappe - Cold Coffee
192,20928,Cafe Latte - Hot Coffee
193,20928,Madagascar Hot Chocolate - Hot Chocolate
194,20928,Baked Vada Pav - Food Menu
195,20927,Kaapicino - Hot Coffee
196,20927,Origanal South Indian Frappe - Cold Coffee
197,C2308,Madagascar Hot Chocolate - Hot Chocolate
198,20926,Cappucino - Hot Coffee
199,20925,Hot Chocolate - Hot Chocolate
200,20924,Classic Frappe - Cold Coffee
201,20924,South Indian Filter Kaapi - Hot Coffee
202,20923,Origanal South Indian Frappe - Cold Coffee
203,20922,Yellow Banana Chips - Food Menu
204,20922,Tartlets - Food Menu
205,20922,Hot Chocolate - Hot Chocolate
206,20921,South Indian Filter Kaapi - Hot Coffee
207,C2307,Papparoti - Sweet
208,20920,South Indian Filter Kaapi - Hot Coffee
209,20919,Nariyal Irish Cream Frappe - Cold Coffee
210,20919,Sea Salt Dark Mocha - Hot Coffee
211,20919,Mix Berliner - Food Menu
212,20919,Mix Berliner - Food Menu
213,20919,Papparoti - Sweet
214,20919,South Indian Filter Kaapi - Hot Coffee
215,20918,Hot Chocolate - Hot Chocolate
216,20917,Madagascar Hot Chocolate - Hot Chocolate
217,20916,Classic Frappe - Cold Coffee
218,20915,Spicy Banana Chips - Food Menu
219,20914,Origanal South Indian Frappe - Cold Coffee
220,20914,Baked Vada Pav - Food Menu
221,C2306,Iced Americano - Cold Coffee
222,C2306,Baked Pav Bhaji - Food Menu
223,20913,Nariyal Irish Cream Frappe - Cold Coffee
224,C2305,South Indian Filter Kaapi - Hot Coffee
225,C2305,Baked Pav Bhaji - Food Menu
226,C2304,Vietnamese - Cold Coffee
227,C2303,South Indian Filter Kaapi - Hot Coffee
228,C2303,Baked Pav Bhaji - Food Menu
229,20912,Kaapicino - Hot Coffee
230,20912,Almond Honey Latte - Hot Coffee
231,20912,Origanal South Indian Frappe - Cold Coffee
232,20912,Papparoti - Sweet
233,20911,Baked Vada Pav - Food Menu
234,20911,Origanal South Indian Frappe - Cold Coffee
235,C2302,Papparoti - Sweet
236,C2301,Berliners - Food Menu
237,20910,Spicy Banana Chips - Food Menu
238,C2300,Kaapicino - Hot Coffee
239,C2300,Strawberry White Chocolate Ganache - SEASONAL MENU
240,C2300,Rosella Jam - SEASONAL MENU
241,C2299,Origanal South Indian Frappe - Cold Coffee
242,C2299,Iced Americano - Cold Coffee
243,C2299,Add On Syrup - Extra Toppings
244,C2298,Spicy Banana Chips - Food Menu
245,C2298,Yellow Banana Chips - Food Menu
246,C2298,Plain Nankhatai Veg - Sweet
247,C2298,Choco-crinkle-cookies - Sweet
248,20909,Origanal South Indian Frappe - Cold Coffee
249,20909,Baked Vada Pav - Food Menu
250,20908,Americano - Hot Coffee
251,20907,Malnad Tonic - Coffee Coolers
252,20906,Vanilla Praline - Cold Coffee
253,20906,Cappucino - Hot Coffee
254,20906,OAT MILK - Milk
255,20905,Americano - Hot Coffee
256,20904,Hazelnut Frappe - Cold Coffee
257,20904,Madagascar Chocochip Frappe - Cold Coffee
258,20903,South Indian Filter Kaapi - Hot Coffee
259,20902,Berliners - Food Menu
260,20901,Iced Mocha - Cold Coffee
261,20900,Vietnamese - Cold Coffee
262,20900,Vanilla Praline - Cold Coffee
263,20899,Sea Salt Dark Mocha Frappe - Cold Coffee
264,20899,Nariyal Irish Cream Frappe - Cold Coffee
265,20899,Papparoti - Sweet
266,20899,Strawberry White Chocolate Ganache - SEASONAL MENU
267,20899,Cafe Latte - Hot Coffee
268,20898,Cappucino - Hot Coffee
269,20898,Iced Latte - Cold Coffee
270,20897,ESPRESSO - Hot Coffee
271,20897,South Indian Filter Kaapi - Hot Coffee
272,20897,Baked Pav Bhaji - Food Menu
273,20897,Baked Pav Bhaji - Food Menu
274,20896,South Indian Filter Kaapi - Hot Coffee
275,20896,Choco-crinkle-cookies - Sweet
276,20896,Cafe Latte - Hot Coffee
277,20895,Almond Frappe - Cold Coffee
278,20894,Berliners - Food Menu
279,20894,Berliners - Food Menu
280,20893,Iced Americano - Cold Coffee
281,20893,Iced Mocha - Cold Coffee
282,20893,Berliners - Food Menu
283,20892,Cold Brew - Manual Brew
284,20891,Iced Latte - Cold Coffee
285,20891,Vietnamese - Cold Coffee
286,20891,Choco-crinkle-cookies - Sweet
287,C2297,Rosella Cheesecake Berliner - SEASONAL MENU
288,C2297,Calzones Veg - Food Menu
289,20890,Choco-crinkle-cookies - Sweet
290,20889,Irish Americano - Hot Coffee
291,20889,Classic Frappe - Cold Coffee
292,20888,Mix Tartlet - Food Menu
293,20888,Mix Tartlet - Food Menu
294,20888,Mix Tartlet - Food Menu
295,20888,Gluten Free Hazelnut Brownie - Sweet
296,20887,Baked Vada Pav - Food Menu
297,20886,Nariyal Irish Cream Frappe - Cold Coffee
298,20886,Vietnamese - Cold Coffee
299,20886,Hyderabadi Soya Keema Pav - Food Menu
300,20885,Almond Frappe - Cold Coffee
301,20885,Hazelnut Frappe - Cold Coffee
302,20885,Origanal South Indian Frappe - Cold Coffee
303,20885,Strawberry White Chocolate Ganache - SEASONAL MENU
304,20885,Berliners - Food Menu
305,20885,Choco-crinkle-cookies - Sweet
306,20884,Iced Americano - Cold Coffee
307,20884,Caramel Frappe - Cold Coffee
308,20883,Rosella Jam - SEASONAL MENU
309,20883,Hazelnut Frappe - Cold Coffee
310,20882,Flat White 250 Ml - Hot Coffee
311,20881,South Indian Filter Kaapi - Hot Coffee
312,20880,Cappucino - Hot Coffee
313,20880,Almond Honey Latte - Hot Coffee
314,20880,Chicken Calzone - Food Menu
315,20880,Choco-crinkle-cookies - Sweet
316,20880,Rosella Jam - SEASONAL MENU
317,20879,Cappucino - Hot Coffee
318,20879,Baked Vada Pav - Food Menu
319,20879,Hyderabadi Chicken Keema Pav - Food Menu
320,20879,South Indian Filter Kaapi - Hot Coffee
321,20879,Calzones Veg - Food Menu
322,20879,Spicy Banana Chips - Food Menu
323,C2296,Strawberry White Chocolate Ganache - SEASONAL MENU
324,20878,Classic Frappe - Cold Coffee
325,20878,Yellow Banana Chips - Food Menu
326,20878,Mix Berliner - Food Menu
327,20878,Mix Berliner - Food Menu
328,20877,Vietnamese - Cold Coffee
329,20876,Tartlets - Food Menu
330,20876,Mix Berliner - Food Menu
331,20876,Mix Berliner - Food Menu
332,20876,Baked Vada Pav - Food Menu
333,20876,Rosella Jam - SEASONAL MENU
334,20875,Vietnamese - Cold Coffee
335,20874,Spicy Banana Chips - Food Menu
336,20873,Papparoti - Sweet
337,20873,Rosella Cheesecake Berliner - SEASONAL MENU
